# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 25K of event 'cycles'
# Event count (approx.): 1466031924
#
# Overhead  Command  Shared Object        Symbol                                                                                         
# ........  .......  ...................  ...................................................................................................................................................................................................................................................................................
#
     0.01%  node     libc-2.19.so         [.] 0x0006f800                                                                                                                                                                                                                                                                     
     0.01%  node     node                 [.] v8::internal::LCodeGen::ToRepresentation                                                                                                                                                                                                                                       
     0.01%  node     ld-2.19.so           [.] 0x000097e8                                                                                                                                                                                                                                                                     
     0.01%  node     [kernel.kallsyms]    [k] perf_event_mmap                                                                                                                                                                                                                                                                
     0.01%  node     ld-2.19.so           [.] 0x00008ee0                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x00009400                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x00008f70                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x00009414                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x00008f20                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x000093e4                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x0000917c                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x00008ee4                                                                                                                                                                                                                                                                     
     0.01%  node     [kernel.kallsyms]    [k] vma_compute_subtree_gap                                                                                                                                                                                                                                                        
     0.01%  node     [kernel.kallsyms]    [k] show_cpuinfo                                                                                                                                                                                                                                                                   
     0.01%  node     [kernel.kallsyms]    [k] __ashldi3                                                                                                                                                                                                                                                                      
     0.01%  node     [kernel.kallsyms]    [k] find_vma_links                                                                                                                                                                                                                                                                 
     0.01%  node     [kernel.kallsyms]    [k] page_add_file_rmap                                                                                                                                                                                                                                                             
     0.01%  node     ld-2.19.so           [.] 0x000093a0                                                                                                                                                                                                                                                                     
     0.01%  node     [kernel.kallsyms]    [k] unmap_vmas                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x000098b0                                                                                                                                                                                                                                                                     
     0.01%  node     [kernel.kallsyms]    [k] free_pgtables                                                                                                                                                                                                                                                                  
     0.01%  node     [kernel.kallsyms]    [k] __up_write                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x00009240                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x000090b4                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x0000b7d8                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x0000bc90                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x00019918                                                                                                                                                                                                                                                                     
     0.01%  node     [kernel.kallsyms]    [k] vma_merge                                                                                                                                                                                                                                                                      
     0.01%  node     ld-2.19.so           [.] 0x00009f9c                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x00008f60                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x000091c0                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x0001992c                                                                                                                                                                                                                                                                     
     0.01%  node     [kernel.kallsyms]    [k] __rb_insert_augmented                                                                                                                                                                                                                                                          
     0.01%  node     ld-2.19.so           [.] 0x00009170                                                                                                                                                                                                                                                                     
     0.01%  node     ld-2.19.so           [.] 0x000091b4                                                                                                                                                                                                                                                                     
     0.01%  node     [kernel.kallsyms]    [k] unlock_page                                                                                                                                                                                                                                                                    
     0.01%  node     node                 [.] v8::internal::MacroAssembler::PrepareCallCFunction                                                                                                                                                                                                                             
     0.01%  node     node                 [.] v8::internal::HShr::opcode                                                                                                                                                                                                                                                     
     0.01%  node     [kernel.kallsyms]    [k] vfs_read                                                                                                                                                                                                                                                                       
     0.01%  node     node                 [.] v8::internal::BinaryOpICStub::GenerateAheadOfTime                                                                                                                                                                                                                              
     0.01%  node     node                 [.] v8::internal::WhichPowerOf2                                                                                                                                                                                                                                                    
     0.01%  node     node                 [.] v8::internal::FunctionLiteral::node_type                                                                                                                                                                                                                                       
     0.01%  node     node                 [.] v8::internal::Isolate::sloppy_function_map                                                                                                                                                                                                                                     
     0.01%  node     node                 [.] v8::internal::Factory::NewJSArray                                                                                                                                                                                                                                              
     0.01%  node     perf-1784.map        [.] LazyCompile:~runInThisContext node.js:740                                                                                                                                                                                                                                      
     0.00%  node     node                 [.] 0x002b0088                                                                                                                                                                                                                                                                     
     0.00%  node     libc-2.19.so         [.] 0x00074414                                                                                                                                                                                                                                                                     
     0.00%  node     libc-2.19.so         [.] 0x000746d8                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] v8::internal::BasicJsonStringifier::Serialize_<false>                                                                                                                                                                                                                          
     0.00%  node     node                 [.] 0x003b9068                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] 0x002de594                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] 0x004481fc                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] v8::internal::NativesCollection<(v8::internal::NativeType)0>::GetRawScriptSource                                                                                                                                                                                               
     0.00%  node     perf-1784.map        [.] LazyCompile:~ToPropertyDescriptor native v8natives.js:269                                                                                                                                                                                                                      
     0.00%  node     node                 [.] v8::internal::Parser::CheckInOrOf                                                                                                                                                                                                                                              
     0.00%  node     node                 [.] v8::internal::LiteralBuffer::length                                                                                                                                                                                                                                            
     0.00%  node     node                 [.] 0x00272fa0                                                                                                                                                                                                                                                                     
     0.00%  node     perf-1784.map        [.] 0x3cb0a4e8                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x0000922c                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000093a4                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] v8::internal::SideEffects::AddSpecial                                                                                                                                                                                                                                          
     0.00%  node     [mt_wifi]            [k] MlmeResetRalinkCounters                                                                                                                                                                                                                                                        
     0.00%  node     node                 [.] v8::internal::LChunkBuilder::DoLoadKeyed                                                                                                                                                                                                                                       
     0.00%  node     node                 [.] v8::internal::LCodeGen::RecordSafepointWithRegisters                                                                                                                                                                                                                           
     0.00%  node     node                 [.] v8::internal::BinaryOpIC::State::KindToType                                                                                                                                                                                                                                    
     0.00%  node     [kernel.kallsyms]    [k] mmap_region                                                                                                                                                                                                                                                                    
     0.00%  node     [kernel.kallsyms]    [k] zone_watermark_ok                                                                                                                                                                                                                                                              
     0.00%  node     [kernel.kallsyms]    [k] __slab_alloc.isra.74.constprop.78                                                                                                                                                                                                                                              
     0.00%  node     ld-2.19.so           [.] 0x00009214                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00008ef0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00008ff0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00008f2c                                                                                                                                                                                                                                                                     
     0.00%  node     libc-2.19.so         [.] 0x00074264                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] 0x002aa620                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] 0x002b0054                                                                                                                                                                                                                                                                     
     0.00%  node     [kernel.kallsyms]    [k] tlb_do_page_fault_0                                                                                                                                                                                                                                                            
     0.00%  node     [kernel.kallsyms]    [k] mutex_lock                                                                                                                                                                                                                                                                     
     0.00%  node     [kernel.kallsyms]    [k] sys_mprotect                                                                                                                                                                                                                                                                   
     0.00%  node     [kernel.kallsyms]    [k] __copy_user                                                                                                                                                                                                                                                                    
     0.00%  node     [kernel.kallsyms]    [k] mark_page_accessed                                                                                                                                                                                                                                                             
     0.00%  node     [kernel.kallsyms]    [k] __vma_link_rb                                                                                                                                                                                                                                                                  
     0.00%  node     [kernel.kallsyms]    [k] __sched_text_start                                                                                                                                                                                                                                                             
     0.00%  node     [kernel.kallsyms]    [k] path_init                                                                                                                                                                                                                                                                      
     0.00%  node     [kernel.kallsyms]    [k] __fdget_pos                                                                                                                                                                                                                                                                    
     0.00%  node     ld-2.19.so           [.] 0x000097dc                                                                                                                                                                                                                                                                     
     0.00%  node     libc-2.19.so         [.] 0x00072458                                                                                                                                                                                                                                                                     
     0.00%  node     libc-2.19.so         [.] 0x00074400                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] unibrow::LineTerminator::Is                                                                                                                                                                                                                                                    
     0.00%  node     node                 [.] v8::internal::CompareIC::GetUninitialized                                                                                                                                                                                                                                      
     0.00%  node     node                 [.] v8::internal::FullCodeGenerator::TestContext::Plug                                                                                                                                                                                                                             
     0.00%  node     node                 [.] v8::internal::FullCodeGenerator::VisitReturnStatement                                                                                                                                                                                                                          
     0.00%  node     node                 [.] 0x00209a00                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] 0x0034ff58                                                                                                                                                                                                                                                                     
     0.00%  node     [kernel.kallsyms]    [k] do_wp_page.isra.96                                                                                                                                                                                                                                                             
     0.00%  node     node                 [.] v8::internal::HSeqStringGetChar::opcode                                                                                                                                                                                                                                        
     0.00%  node     node                 [.] v8::internal::HValue::observed_input_representation                                                                                                                                                                                                                            
     0.00%  node     node                 [.] 0x0033dcc0                                                                                                                                                                                                                                                                     
     0.00%  node     [kernel.kallsyms]    [k] free_pages_prepare                                                                                                                                                                                                                                                             
     0.00%  node     libc-2.19.so         [.] 0x0007362c                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] 0x0020ebdc                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] 0x00448450                                                                                                                                                                                                                                                                     
     0.00%  node     [kernel.kallsyms]    [k] perf_event_aux_ctx                                                                                                                                                                                                                                                             
     0.00%  node     node                 [.] v8::internal::HAllocate::CompileToLithium                                                                                                                                                                                                                                      
     0.00%  node     node                 [.] v8::internal::HArithmeticBinaryOperation::HArithmeticBinaryOperation                                                                                                                                                                                                           
     0.00%  node     node                 [.] v8::internal::HSimulate::CompileToLithium                                                                                                                                                                                                                                      
     0.00%  node     node                 [.] v8::internal::LCodeGen::DoCmpMapAndBranch                                                                                                                                                                                                                                      
     0.00%  node     node                 [.] v8::internal::MacroAssembler::AssertNotSmi                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] 0x0070ddc0                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] v8::internal::ArgumentsAccessStub::GenerateNewSloppyFast                                                                                                                                                                                                                       
     0.00%  node     node                 [.] v8::internal::ArgumentsAccessStub::PrintName                                                                                                                                                                                                                                   
     0.00%  node     node                 [.] v8::internal::CallFunctionStub::MajorKey                                                                                                                                                                                                                                       
     0.00%  node     node                 [.] v8::internal::FullCodeGenerator::EmitArgumentsLength                                                                                                                                                                                                                           
     0.00%  node     node                 [.] v8::internal::HydrogenCodeStub::GenerateLightweightMissCode                                                                                                                                                                                                                    
     0.00%  node     node                 [.] v8::internal::IsHoleyElementsKind                                                                                                                                                                                                                                              
     0.00%  node     node                 [.] 0x001e7a80                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] 0x00273280                                                                                                                                                                                                                                                                     
     0.00%  node     libc-2.19.so         [.] 0x0007323c                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] v8::internal::Genesis::CompileBuiltin                                                                                                                                                                                                                                          
     0.00%  node     node                 [.] v8::internal::GrowableBitVector::Iterator::Iterator                                                                                                                                                                                                                            
     0.00%  node     node                 [.] v8::internal::HBitwise::InferRange                                                                                                                                                                                                                                             
     0.00%  node     node                 [.] v8::internal::LCodeGen::DoShiftI                                                                                                                                                                                                                                               
     0.00%  node     node                 [.] 0x003a0cdc                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00009980                                                                                                                                                                                                                                                                     
     0.00%  node     [kernel.kallsyms]    [k] arch_get_unmapped_area_common                                                                                                                                                                                                                                                  
     0.00%  node     [kernel.kallsyms]    [k] seq_read                                                                                                                                                                                                                                                                       
     0.00%  node     [kernel.kallsyms]    [k] shmem_getpage_gfp                                                                                                                                                                                                                                                              
     0.00%  node     node                 [.] v8::internal::Accessors::ScriptSourceUrlInfo                                                                                                                                                                                                                                   
     0.00%  node     node                 [.] v8::internal::DescriptorArray::GetValue                                                                                                                                                                                                                                        
     0.00%  node     node                 [.] v8::internal::FreeListNode::next                                                                                                                                                                                                                                               
     0.00%  node     node                 [.] v8::internal::Genesis::CreateFunctionMap                                                                                                                                                                                                                                       
     0.00%  node     node                 [.] v8::internal::Genesis::InitializeGlobal                                                                                                                                                                                                                                        
     0.00%  node     node                 [.] v8::internal::HashTable<v8::internal::CompilationCacheTable, v8::internal::CompilationCacheShape, v8::internal::HashTableKey*>::New                                                                                                                                            
     0.00%  node     node                 [.] v8::internal::InternalArrayNArgumentsConstructorStub::MajorKey                                                                                                                                                                                                                 
     0.00%  node     node                 [.] v8::internal::MacroAssembler::GetMarkBits                                                                                                                                                                                                                                      
     0.00%  node     node                 [.] v8::internal::Map::CopyAsElementsKind                                                                                                                                                                                                                                          
     0.00%  node     node                 [.] v8::internal::Parser::SetCachedData                                                                                                                                                                                                                                            
     0.00%  node     node                 [.] v8::internal::StoreFieldStub::kind                                                                                                                                                                                                                                             
     0.00%  node     node                 [.] 0x00213f40                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] 0x002160f8                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] 0x0021dab4                                                                                                                                                                                                                                                                     
     0.00%  node     node                 [.] v8::internal::Assembler::GenInstrRegister                                                                                                                                                                                                                                      
     0.00%  node     node                 [.] v8::internal::Assembler::dd                                                                                                                                                                                                                                                    
