# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 25K of event 'cycles'
# Event count (approx.): 1466031924
#
# Overhead  Command  Shared Object        Symbol                                                                                         
# ........  .......  ...................  ...................................................................................................................................................................................................................................................................................
#
     0.13%  node     node                 [.] v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape, v8::internal::HashTableKey*>::FindInsertionEntry                                                                                                                                            
     0.13%  node     node                 [.] v8::internal::HInferRepresentationPhase::Run                                                                                                                                                                                                                                   
     0.13%  node     node                 [.] v8::internal::Assignment::Assignment                                                                                                                                                                                                                                           
     0.13%  node     libgcc_s.so.1        [.] __gedf2                                                                                                                                                                                                                                                                        
     0.13%  node     node                 [.] v8::internal::Parser::ParseV8Intrinsic                                                                                                                                                                                                                                         
     0.13%  node     node                 [.] 0x0070c774                                                                                                                                                                                                                                                                     
     0.12%  node     node                 [.] v8::internal::Scope::Initialize                                                                                                                                                                                                                                                
     0.12%  node     node                 [.] v8::internal::Assembler::lw                                                                                                                                                                                                                                                    
     0.12%  node     node                 [.] v8::internal::HandleScope::CreateHandle<v8::internal::String>                                                                                                                                                                                                                  
     0.12%  node     node                 [.] v8::internal::Object::GetProperty                                                                                                                                                                                                                                              
     0.12%  node     libgcc_s.so.1        [.] __muldf3                                                                                                                                                                                                                                                                       
     0.12%  node     node                 [.] v8::internal::Interface::NewUnknown                                                                                                                                                                                                                                            
     0.12%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParseArguments                                                                                                                                                                                                           
     0.12%  node     node                 [.] v8::internal::HGlobalValueNumberingPhase::AnalyzeGraph                                                                                                                                                                                                                         
     0.12%  node     node                 [.] v8::internal::List<v8::internal::HValue*, v8::internal::ZoneAllocationPolicy>::Add                                                                                                                                                                                             
