# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 6199007
#
# Overhead  Command  Shared Object      Symbol                                 
# ........  .......  .................  .......................................
#
     0.15%  lua      [mt_wifi]          [k] parse_rx_packet_type               
     0.15%  lua      ld-2.19.so         [.] __tls_get_addr                     
     0.15%  lua      ld-2.19.so         [.] 0x00003c68                         
     0.15%  lua      ld-2.19.so         [.] 0x00008efc                         
     0.15%  lua      ld-2.19.so         [.] 0x00009000                         
     0.15%  lua      ld-2.19.so         [.] 0x00009028                         
     0.15%  lua      ld-2.19.so         [.] 0x000090c4                         
     0.15%  lua      ld-2.19.so         [.] 0x0000910c                         
     0.15%  lua      ld-2.19.so         [.] 0x0000914c                         
     0.15%  lua      ld-2.19.so         [.] 0x00009154                         
     0.15%  lua      ld-2.19.so         [.] 0x00009168                         
     0.15%  lua      ld-2.19.so         [.] 0x00009170                         
     0.15%  lua      ld-2.19.so         [.] 0x00009188                         
     0.15%  lua      ld-2.19.so         [.] 0x000091b4                         
     0.15%  lua      ld-2.19.so         [.] 0x000091b8                         
     0.15%  lua      ld-2.19.so         [.] 0x0000922c                         
     0.15%  lua      ld-2.19.so         [.] 0x00009324                         
     0.15%  lua      ld-2.19.so         [.] 0x00009390                         
     0.15%  lua      ld-2.19.so         [.] 0x000093a4                         
     0.15%  lua      ld-2.19.so         [.] 0x000093c8                         
     0.15%  lua      ld-2.19.so         [.] 0x000093f0                         
     0.15%  lua      ld-2.19.so         [.] 0x00009408                         
     0.15%  lua      ld-2.19.so         [.] 0x00009424                         
     0.15%  lua      ld-2.19.so         [.] 0x00009428                         
     0.15%  lua      ld-2.19.so         [.] 0x00009440                         
     0.15%  lua      ld-2.19.so         [.] 0x000097ec                         
     0.15%  lua      ld-2.19.so         [.] 0x000097f4                         
     0.15%  lua      ld-2.19.so         [.] 0x000098b4                         
     0.15%  lua      ld-2.19.so         [.] 0x000099b0                         
     0.15%  lua      ld-2.19.so         [.] 0x000099d0                         
     0.15%  lua      ld-2.19.so         [.] 0x00009f8c                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b2bc                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b2e8                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b324                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b498                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b51c                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b7d0                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b7f4                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b7fc                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b810                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b824                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b838                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b840                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b97c                         
     0.15%  lua      ld-2.19.so         [.] 0x0000b9f4                         
     0.15%  lua      ld-2.19.so         [.] 0x0000ba04                         
     0.15%  lua      ld-2.19.so         [.] 0x0000ba08                         
     0.15%  lua      ld-2.19.so         [.] 0x0000ba58                         
     0.15%  lua      ld-2.19.so         [.] 0x0000bc90                         
     0.15%  lua      ld-2.19.so         [.] 0x0000f660                         
     0.15%  lua      ld-2.19.so         [.] 0x0000fd14                         
     0.15%  lua      ld-2.19.so         [.] 0x0000ff18                         
     0.15%  lua      ld-2.19.so         [.] 0x00010570                         
     0.15%  lua      ld-2.19.so         [.] 0x0001582c                         
     0.15%  lua      ld-2.19.so         [.] 0x00015830                         
     0.15%  lua      ld-2.19.so         [.] 0x00015864                         
     0.15%  lua      ld-2.19.so         [.] 0x000197c4                         
     0.15%  lua      ld-2.19.so         [.] 0x00019910                         
     0.15%  lua      ld-2.19.so         [.] 0x00019918                         
     0.15%  lua      libc-2.19.so       [.] __ctype_init                       
     0.15%  lua      libc-2.19.so       [.] gnu_dev_major                      
     0.15%  lua      libc-2.19.so       [.] 0x0006ffcc                         
     0.15%  lua      libc-2.19.so       [.] 0x0007166c                         
     0.15%  lua      libc-2.19.so       [.] 0x00072fd0                         
     0.15%  lua      libc-2.19.so       [.] 0x00072ff4                         
     0.15%  lua      libc-2.19.so       [.] 0x00073014                         
     0.15%  lua      libc-2.19.so       [.] 0x0007325c                         
     0.15%  lua      libc-2.19.so       [.] 0x0007326c                         
     0.15%  lua      libc-2.19.so       [.] 0x000732c0                         
     0.15%  lua      libc-2.19.so       [.] 0x000734e8                         
     0.15%  lua      libc-2.19.so       [.] 0x00073ec0                         
     0.15%  lua      libc-2.19.so       [.] 0x00073f88                         
     0.15%  lua      libc-2.19.so       [.] 0x00074118                         
     0.15%  lua      libc-2.19.so       [.] 0x00074148                         
     0.15%  lua      libc-2.19.so       [.] 0x00074154                         
     0.15%  lua      libc-2.19.so       [.] 0x000741b8                         
     0.15%  lua      libc-2.19.so       [.] 0x00074570                         
     0.15%  lua      libc-2.19.so       [.] 0x00074580                         
     0.15%  lua      libc-2.19.so       [.] 0x000745a4                         
     0.15%  lua      libc-2.19.so       [.] 0x000747e8                         
     0.15%  lua      libc-2.19.so       [.] 0x00077248                         
     0.15%  lua      libc-2.19.so       [.] 0x000d4f50                         
     0.15%  lua      libgcc_s.so.1      [.] _ftext                             
     0.15%  lua      liblua.so.5.1.5    [.] _ftext                             
     0.15%  lua      liblua.so.5.1.5    [.] luaL_checkany                      
     0.15%  lua      liblua.so.5.1.5    [.] luaL_newstate                      
     0.15%  lua      liblua.so.5.1.5    [.] lua_createtable                    
     0.15%  lua      liblua.so.5.1.5    [.] lua_getfield                       
     0.15%  lua      liblua.so.5.1.5    [.] lua_replace                        
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000725c                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00009be0                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000a390                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000a580                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000a584                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000ad40                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000ba24                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000be3c                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000be78                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000bf3c                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000bf7c                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000bf98                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000c368                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000cabc                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000e8e0                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0000f170                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00010200                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00012fd0                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00013794                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x000137c4                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00013b94                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00013ba0                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00013cac                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00013d90                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0001433c                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x000143a8                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00014438                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x000147a4                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x000147c8                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00014870                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00014950                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00014a54                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00014a78                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00014a94                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00014ab0                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00014b20                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00014b30                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00014c28                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00016740                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x000167a4                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00016824                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00019558                         
