# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 18K of event 'cycles'
# Event count (approx.): 1004956412
#
# Overhead  Command  Shared Object        Symbol                                    
# ........  .......  ...................  ..........................................
#
     0.01%  python   libpython2.7.so.1.0  [.] PyThread_get_thread_ident             
     0.01%  python   libpython2.7.so.1.0  [.] compiler_list                         
     0.01%  python   libpython2.7.so.1.0  [.] field_name_split                      
     0.01%  python   libpython2.7.so.1.0  [.] output_initialize                     
     0.01%  python   libc-2.19.so         [.] 0x000733a0                            
     0.01%  python   libpython2.7.so.1.0  [.] future_parse.constprop.1              
     0.01%  python   [kernel.kallsyms]    [k] memcmp                                
     0.01%  python   libc-2.19.so         [.] 0x000725b8                            
     0.01%  python   libc-2.19.so         [.] 0x0007268c                            
     0.01%  python   libpython2.7.so.1.0  [.] PyMem_Malloc                          
     0.01%  python   libc-2.19.so         [.] 0x00074688                            
     0.01%  python   libc-2.19.so         [.] 0x00074600                            
     0.01%  python   libc-2.19.so         [.] 0x0007b0e4                            
     0.01%  python   ld-2.19.so           [.] 0x000093a8                            
     0.01%  python   ld-2.19.so           [.] 0x0001582c                            
     0.01%  python   libc-2.19.so         [.] 0x00072488                            
     0.01%  python   libc-2.19.so         [.] 0x0007451c                            
     0.01%  python   libpython2.7.so.1.0  [.] check_bom.isra.1                      
     0.01%  python   libpython2.7.so.1.0  [.] add_getset                            
     0.01%  python   [kernel.kallsyms]    [k] filldir64                             
     0.01%  python   [kernel.kallsyms]    [k] squashfs_cache_get                    
     0.01%  python   [kernel.kallsyms]    [k] squashfs_read_metadata                
     0.01%  python   libc-2.19.so         [.] readdir64                             
     0.01%  python   libpython2.7.so.1.0  [.] PyParser_ParseStringFlagsFilenameEx   
     0.01%  python   libpython2.7.so.1.0  [.] Py_UniversalNewlineFread              
     0.01%  python   libpython2.7.so.1.0  [.] capsule_dealloc                       
     0.01%  python   libpython2.7.so.1.0  [.] cleanreturn                           
     0.01%  python   libpython2.7.so.1.0  [.] dict_to_map                           
     0.01%  python   libpython2.7.so.1.0  [.] listiter_dealloc                      
     0.01%  python   libpython2.7.so.1.0  [.] string_concatenate                    
     0.01%  python   libpython2.7.so.1.0  [.] stringlib_parse_args_finds.constprop.3
     0.01%  python   libc-2.19.so         [.] 0x00074268                            
     0.01%  python   libpython2.7.so.1.0  [.] _Py_Dict                              
     0.01%  python   libpython2.7.so.1.0  [.] symtable_visit_params_nested          
     0.01%  python   libc-2.19.so         [.] 0x000724f0                            
     0.01%  python   libc-2.19.so         [.] 0x000735f0                            
     0.01%  python   libc-2.19.so         [.] 0x00074734                            
     0.01%  python   ld-2.19.so           [.] 0x00015740                            
     0.01%  python   libm-2.19.so         [.] __log_finite                          
     0.01%  python   libc-2.19.so         [.] 0x000759c4                            
     0.01%  python   [kernel.kallsyms]    [k] vma_rb_erase                          
     0.01%  python   libc-2.19.so         [.] 0x00074034                            
     0.01%  python   libc-2.19.so         [.] 0x000743c0                            
     0.01%  python   libc-2.19.so         [.] 0x00074780                            
     0.01%  python   [kernel.kallsyms]    [k] filename_lookup.isra.52               
     0.01%  python   [kernel.kallsyms]    [k] mntput                                
     0.01%  python   libc-2.19.so         [.] _IO_file_fopen                        
     0.01%  python   [kernel.kallsyms]    [k] rwsem_is_locked                       
     0.01%  python   [mt_wifi]            [k] OS_SPIN_UNLOCK_IRQRESTORE             
     0.01%  python   ld-2.19.so           [.] 0x000155e0                            
     0.01%  python   libpython2.7.so.1.0  [.] PyType_ClearCache                     
     0.01%  python   libpython2.7.so.1.0  [.] PyType_Modified                       
     0.01%  python   libpython2.7.so.1.0  [.] _Py_UnaryOp                           
     0.01%  python   libc-2.19.so         [.] 0x0007468c                            
     0.01%  python   libc-2.19.so         [.] 0x00075590                            
     0.01%  python   libpython2.7.so.1.0  [.] _Py_ClassDef                          
     0.01%  python   libc-2.19.so         [.] 0x000755d4                            
     0.01%  python   libpython2.7.so.1.0  [.] is_builtin                            
     0.01%  python   libc-2.19.so         [.] 0x00073354                            
     0.01%  python   libc-2.19.so         [.] 0x0007360c                            
     0.01%  python   libc-2.19.so         [.] 0x000756b8                            
     0.01%  python   libc-2.19.so         [.] 0x000757f4                            
     0.01%  python   [kernel.kallsyms]    [k] __alloc_fd                            
     0.01%  python   [kernel.kallsyms]    [k] user_path_at_empty                    
     0.01%  python   libc-2.19.so         [.] fseek                                 
     0.01%  python   libc-2.19.so         [.] 0x000292c0                            
     0.01%  python   libc-2.19.so         [.] 0x00060a88                            
     0.01%  python   libc-2.19.so         [.] 0x000723c0                            
     0.01%  python   libc-2.19.so         [.] 0x00072434                            
     0.01%  python   libc-2.19.so         [.] 0x00073b78                            
     0.01%  python   libc-2.19.so         [.] 0x0007404c                            
     0.01%  python   libc-2.19.so         [.] 0x000746ac                            
     0.01%  python   libpython2.7.so.1.0  [.] r_long                                
     0.01%  python   libpython2.7.so.1.0  [.] string_split                          
     0.01%  python   libc-2.19.so         [.] 0x00075934                            
     0.01%  python   libpython2.7.so.1.0  [.] parsestrplus                          
     0.01%  python   [mt_wifi]            [k] DynamicTxRateSwitchingAdaptMT         
     0.01%  python   libc-2.19.so         [.] 0x000757ec                            
     0.01%  python   libc-2.19.so         [.] _IO_default_xsputn                    
     0.01%  python   libc-2.19.so         [.] 0x00074534                            
     0.01%  python   libc-2.19.so         [.] 0x000747cc                            
     0.01%  python   libpython2.7.so.1.0  [.] PyErr_SetObject                       
     0.01%  python   libpython2.7.so.1.0  [.] PyNumber_AsSsize_t                    
     0.01%  python   libc-2.19.so         [.] 0x000747f8                            
     0.01%  python   libc-2.19.so         [.] 0x00074240                            
     0.01%  python   libc-2.19.so         [.] 0x000743f8                            
     0.01%  python   [kernel.kallsyms]    [k] __fdget_pos                           
     0.01%  python   libc-2.19.so         [.] 0x00074630                            
     0.01%  python   libc-2.19.so         [.] 0x000755e8                            
     0.01%  python   libpython2.7.so.1.0  [.] _Py_Index                             
     0.01%  python   libc-2.19.so         [.] 0x00073218                            
     0.01%  python   libc-2.19.so         [.] 0x00073370                            
     0.01%  python   [kernel.kallsyms]    [k] ovl_d_select_inode                    
     0.01%  python   libpython2.7.so.1.0  [.] posix_readlink                        
     0.01%  python   libc-2.19.so         [.] 0x00075018                            
     0.01%  python   libc-2.19.so         [.] 0x00075968                            
     0.01%  python   libc-2.19.so         [.] 0x0007b0dc                            
     0.01%  python   libpython2.7.so.1.0  [.] analyze_cells                         
     0.01%  python   libpython2.7.so.1.0  [.] fill_free_list                        
     0.01%  python   libc-2.19.so         [.] 0x00072528                            
     0.01%  python   [kernel.kallsyms]    [k] path_put                              
     0.01%  python   libc-2.19.so         [.] 0x000735d4                            
     0.01%  python   libc-2.19.so         [.] 0x0007b0f0                            
     0.01%  python   libpython2.7.so.1.0  [.] PyList_GetItem                        
     0.01%  python   libc-2.19.so         [.] 0x00074698                            
     0.01%  python   libc-2.19.so         [.] 0x000756dc                            
     0.01%  python   libpython2.7.so.1.0  [.] _Py_Subscript                         
     0.01%  python   libpython2.7.so.1.0  [.] ast_for_exprlist                      
     0.01%  python   libc-2.19.so         [.] 0x00075898                            
     0.01%  python   libc-2.19.so         [.] 0x00073294                            
     0.01%  python   libc-2.19.so         [.] 0x0007247c                            
     0.01%  python   libc-2.19.so         [.] _IO_setb                              
     0.01%  python   libc-2.19.so         [.] 0x00073638                            
     0.01%  python   libpython2.7.so.1.0  [.] symtable_visit_excepthandler          
     0.01%  python   libc-2.19.so         [.] 0x00074540                            
     0.01%  python   [kernel.kallsyms]    [k] __fget_light                          
     0.01%  python   libc-2.19.so         [.] 0x00072568                            
     0.01%  python   libpython2.7.so.1.0  [.] _Py_Compare                           
     0.01%  python   libc-2.19.so         [.] 0x000743b4                            
     0.01%  python   libpython2.7.so.1.0  [.] compiler_decorators                   
     0.01%  python   libpython2.7.so.1.0  [.] symtable_handle_comprehension         
     0.01%  python   libc-2.19.so         [.] 0x00073ec8                            
     0.01%  python   libc-2.19.so         [.] 0x00075844                            
     0.01%  python   libc-2.19.so         [.] 0x000758b8                            
     0.01%  python   libc-2.19.so         [.] 0x0007b0e8                            
     0.01%  python   libpython2.7.so.1.0  [.] decoding_feof                         
     0.01%  python   [mt_wifi]            [k] preCheckMsgTypeSubset                 
     0.01%  python   ld-2.19.so           [.] 0x00015828                            
     0.01%  python   libc-2.19.so         [.] 0x000747b0                            
     0.01%  python   libpython2.7.so.1.0  [.] PyObject_CallMethod                   
     0.01%  python   libpython2.7.so.1.0  [.] builtin___import__                    
     0.01%  python   libpython2.7.so.1.0  [.] meth_traverse                         
     0.01%  python   [mt_wifi]            [k] QBSS_LoadUpdate                       
     0.01%  python   [kernel.kallsyms]    [k] lockref_put_or_lock                   
     0.01%  python   [mt_wifi]            [k] MlmeEnqueueForRecv                    
     0.01%  python   libc-2.19.so         [.] 0x000741fc                            
     0.01%  python   [kernel.kallsyms]    [k] __strncpy_from_kernel_nocheck_asm     
     0.01%  python   libc-2.19.so         [.] 0x00073400                            
     0.01%  python   libc-2.19.so         [.] 0x00074314                            
     0.01%  python   libpython2.7.so.1.0  [.] Py_InitializeEx                       
     0.01%  python   libpython2.7.so.1.0  [.] tok_new                               
     0.01%  python   libc-2.19.so         [.] 0x0007b100                            
     0.01%  python   libc-2.19.so         [.] 0x000756b4                            
     0.01%  python   libc-2.19.so         [.] 0x000740c0                            
     0.01%  python   libc-2.19.so         [.] 0x0007458c                            
     0.01%  python   libc-2.19.so         [.] 0x000743f4                            
     0.01%  python   libc-2.19.so         [.] 0x00074724                            
     0.01%  python   libpython2.7.so.1.0  [.] name_matches                          
     0.01%  python   [kernel.kallsyms]    [k] format_decode                         
     0.01%  python   [kernel.kallsyms]    [k] get_vmalloc_info                      
     0.01%  python   [kernel.kallsyms]    [k] single_open                           
     0.01%  python   [mt_wifi]            [k] GetPacketFromRxRing                   
     0.01%  python   libc-2.19.so         [.] _IO_vfscanf                           
     0.01%  python   libpython2.7.so.1.0  [.] PySys_GetObject                       
     0.01%  python   libpython2.7.so.1.0  [.] Py_InitModule4                        
     0.01%  python   libpython2.7.so.1.0  [.] _Py_AugAssign                         
     0.01%  python   libpython2.7.so.1.0  [.] _Py_BinOp                             
     0.01%  python   libpython2.7.so.1.0  [.] alias_for_import_name                 
     0.01%  python   libpython2.7.so.1.0  [.] get_operator.isra.0                   
     0.01%  python   libpython2.7.so.1.0  [.] initerrno                             
     0.01%  python   libpython2.7.so.1.0  [.] seq_for_testlist                      
     0.01%  python   [mt_wifi]            [k] RT28xx_get_ether_stats                
     0.01%  python   libc-2.19.so         [.] 0x000759d4                            
     0.01%  python   libc-2.19.so         [.] 0x00075894                            
     0.01%  python   libc-2.19.so         [.] 0x000759b8                            
     0.01%  python   [kernel.kallsyms]    [k] do_sys_open                           
     0.01%  python   libpython2.7.so.1.0  [.] PyCode_Addr2Line                      
     0.01%  python   libpython2.7.so.1.0  [.] PyObject_CallFunctionObjArgs          
     0.01%  python   libpython2.7.so.1.0  [.] set_table_resize                      
     0.01%  python   libpython2.7.so.1.0  [.] stringlib_split                       
     0.01%  python   libpython2.7.so.1.0  [.] update_star_args                      
     0.01%  python   [kernel.kallsyms]    [k] __tlb_remove_page                     
     0.01%  python   [kernel.kallsyms]    [k] path_init                             
     0.01%  python   libc-2.19.so         [.] 0x000734e8                            
     0.01%  python   libpython2.7.so.1.0  [.] wrapper_dealloc                       
     0.01%  python   libc-2.19.so         [.] 0x000758cc                            
     0.01%  python   [kernel.kallsyms]    [k] __rb_erase_color                      
     0.01%  python   libc-2.19.so         [.] 0x00074040                            
     0.01%  python   libpython2.7.so.1.0  [.] _Py_Call                              
     0.01%  python   libpython2.7.so.1.0  [.] _Py_Num                               
     0.01%  python   [kernel.kallsyms]    [k] __slab_free.isra.75                   
     0.01%  python   [kernel.kallsyms]    [k] mntget                                
     0.01%  python   libc-2.19.so         [.] 0x00074764                            
     0.01%  python   libc-2.19.so         [.] 0x0007559c                            
     0.01%  python   libpython2.7.so.1.0  [.] gen_iternext                          
     0.01%  python   libpython2.7.so.1.0  [.] list_iter                             
     0.01%  python   libpython2.7.so.1.0  [.] type_richcompare                      
     0.01%  python   libc-2.19.so         [.] 0x00075940                            
     0.01%  python   libpython2.7.so.1.0  [.] PyClass_New                           
     0.01%  python   libpython2.7.so.1.0  [.] PyFrame_LocalsToFast                  
     0.01%  python   libpython2.7.so.1.0  [.] PyObject_GenericGetAttr               
     0.01%  python   libpython2.7.so.1.0  [.] list_item                             
     0.01%  python   libpython2.7.so.1.0  [.] PyDict_Keys                           
     0.01%  python   libc-2.19.so         [.] 0x00075870                            
     0.01%  python   libc-2.19.so         [.] 0x00075890                            
     0.01%  python   libc-2.19.so         [.] 0x00073b54                            
     0.01%  python   libc-2.19.so         [.] 0x0007321c                            
     0.01%  python   libc-2.19.so         [.] 0x0007329c                            
     0.01%  python   libc-2.19.so         [.] 0x00073b4c                            
     0.01%  python   libpython2.7.so.1.0  [.] PyObject_IsSubclass                   
     0.01%  python   libpython2.7.so.1.0  [.] build_class                           
     0.01%  python   libpython2.7.so.1.0  [.] builtin_getattr                       
     0.01%  python   libpython2.7.so.1.0  [.] object_new                            
     0.01%  python   libpython2.7.so.1.0  [.] recursive_issubclass                  
     0.01%  python   libpython2.7.so.1.0  [.] slot_tp_new                           
     0.01%  python   libpython2.7.so.1.0  [.] sm_descr_get                          
     0.01%  python   libc-2.19.so         [.] 0x00073654                            
     0.01%  python   libpython2.7.so.1.0  [.] _PyObject_GenericSetAttrWithDict      
     0.01%  python   libpython2.7.so.1.0  [.] gc_traverse                           
     0.01%  python   libpython2.7.so.1.0  [.] instancemethod_call                   
     0.01%  python   libpython2.7.so.1.0  [.] load_args                             
     0.01%  python   libpython2.7.so.1.0  [.] set_clear_internal                    
     0.01%  python   libpython2.7.so.1.0  [.] weakref___init__                      
     0.01%  python   libc-2.19.so         [.] 0x000747a0                            
     0.01%  python   [kernel.kallsyms]    [k] mmput                                 
     0.01%  python   [kernel.kallsyms]    [k] up_write                              
     0.01%  python   libc-2.19.so         [.] 0x000733c0                            
     0.01%  python   libc-2.19.so         [.] 0x00073f5c                            
     0.01%  python   libc-2.19.so         [.] 0x00074270                            
     0.01%  python   libc-2.19.so         [.] 0x000743f0                            
     0.01%  python   libc-2.19.so         [.] 0x00074804                            
     0.01%  python   libpython2.7.so.1.0  [.] PyGrammar_RemoveAccelerators          
     0.01%  python   libpython2.7.so.1.0  [.] PyList_Fini                           
     0.01%  python   libc-2.19.so         [.] strcpy                                
     0.01%  python   libpython2.7.so.1.0  [.] PyArg_UnpackTuple                     
     0.01%  python   libpython2.7.so.1.0  [.] PyFunction_SetDefaults                
     0.01%  python   libpython2.7.so.1.0  [.] _PyObject_LookupSpecial               
     0.01%  python   libpython2.7.so.1.0  [.] _PyObject_RealIsSubclass              
     0.01%  python   libpython2.7.so.1.0  [.] function_call                         
     0.01%  python   libpython2.7.so.1.0  [.] gen_send_ex                           
     0.01%  python   libpython2.7.so.1.0  [.] get_path_importer                     
     0.01%  python   libpython2.7.so.1.0  [.] set_insert_key                        
     0.01%  python   libpython2.7.so.1.0  [.] set_lookkey_string                    
     0.01%  python   libpython2.7.so.1.0  [.] set_remove                            
     0.01%  python   libc-2.19.so         [.] 0x000746b4                            
     0.01%  python   libc-2.19.so         [.] 0x0007462c                            
     0.01%  python   libc-2.19.so         [.] 0x000732f8                            
     0.01%  python   libc-2.19.so         [.] 0x00073624                            
     0.01%  python   libc-2.19.so         [.] 0x00073610                            
     0.01%  python   libpython2.7.so.1.0  [.] PyImport_Cleanup                      
     0.01%  python   libpython2.7.so.1.0  [.] set_dealloc                           
     0.01%  python   libc-2.19.so         [.] 0x000755bc                            
     0.01%  python   [mt_wifi]            [k] parse_rx_packet_type                  
     0.01%  python   libc-2.19.so         [.] 0x00074608                            
     0.01%  python   libc-2.19.so         [.] 0x0007587c                            
     0.01%  python   libpython2.7.so.1.0  [.] set_traverse                          
     0.01%  python   libpython2.7.so.1.0  [.] type_traverse                         
     0.01%  python   libc-2.19.so         [.] 0x00074808                            
     0.01%  python   libc-2.19.so         [.] 0x00074124                            
     0.01%  python   libc-2.19.so         [.] 0x00075840                            
     0.01%  python   libc-2.19.so         [.] 0x00073ea4                            
     0.01%  python   libc-2.19.so         [.] 0x000747f4                            
     0.01%  python   libc-2.19.so         [.] 0x00074810                            
     0.01%  python   libc-2.19.so         [.] 0x000758d0                            
     0.01%  python   libc-2.19.so         [.] 0x0007b060                            
     0.01%  python   [kernel.kallsyms]    [k] generic_permission                    
     0.01%  python   [kernel.kallsyms]    [k] try_module_get                        
     0.01%  python   [mt_wifi]            [k] MtPsWatchDog                          
     0.01%  python   libc-2.19.so         [.] 0x00073bf8                            
     0.01%  python   libc-2.19.so         [.] 0x000747ac                            
     0.01%  python   libc-2.19.so         [.] 0x00074200                            
     0.01%  python   libc-2.19.so         [.] 0x00074598                            
     0.01%  python   libc-2.19.so         [.] 0x000746d4                            
     0.01%  python   libpython2.7.so.1.0  [.] init_slotdefs                         
     0.01%  python   libpython2.7.so.1.0  [.] compiler_listcomp_generator           
     0.01%  python   libc-2.19.so         [.] 0x000758a0                            
     0.01%  python   ld-2.19.so           [.] 0x000157e8                            
     0.01%  python   libc-2.19.so         [.] 0x00074694                            
     0.01%  python   libpthread-2.19.so   [.] pthread_self                          
     0.01%  python   libpython2.7.so.1.0  [.] PyImport_ExecCodeModuleEx             
     0.01%  python   [kernel.kallsyms]    [k] mmap_region                           
     0.01%  python   [kernel.kallsyms]    [k] skb_release_data                      
     0.01%  python   ld-2.19.so           [.] 0x000098dc                            
     0.01%  python   libc-2.19.so         [.] 0x000732b0                            
     0.01%  python   libc-2.19.so         [.] 0x00073378                            
     0.01%  python   libc-2.19.so         [.] 0x000735e4                            
     0.01%  python   libc-2.19.so         [.] 0x00073b88                            
     0.01%  python   libc-2.19.so         [.] 0x000755b0                            
     0.01%  python   libc-2.19.so         [.] 0x00074798                            
     0.01%  python   libc-2.19.so         [.] 0x000755c0                            
     0.01%  python   ld-2.19.so           [.] 0x0000b97c                            
     0.01%  python   [kernel.kallsyms]    [k] __down_read                           
     0.01%  python   [kernel.kallsyms]    [k] vmacache_update                       
     0.01%  python   libc-2.19.so         [.] 0x0007412c                            
     0.01%  python   libc-2.19.so         [.] 0x0007456c                            
     0.01%  python   libc-2.19.so         [.] 0x000755ac                            
     0.01%  python   libc-2.19.so         [.] 0x0007564c                            
     0.01%  python   [kernel.kallsyms]    [k] rcu_bh_qs                             
     0.01%  python   [mt_wifi]            [k] APSDPeriodicExec                      
     0.01%  python   libpython2.7.so.1.0  [.] do_mkvalue                            
     0.01%  python   libc-2.19.so         [.] 0x000741d0                            
     0.01%  python   libc-2.19.so         [.] 0x00075888                            
     0.01%  python   ld-2.19.so           [.] 0x00009390                            
     0.01%  python   libc-2.19.so         [.] 0x00074818                            
     0.01%  python   libc-2.19.so         [.] 0x00074820                            
     0.01%  python   libc-2.19.so         [.] 0x000758bc                            
     0.01%  python   [kernel.kallsyms]    [k] radix_tree_next_chunk                 
     0.01%  python   ld-2.19.so           [.] 0x000105f0                            
     0.01%  python   libc-2.19.so         [.] 0x0007454c                            
     0.01%  python   libc-2.19.so         [.] 0x00074558                            
     0.01%  python   ld-2.19.so           [.] 0x0000ba58                            
     0.01%  python   ld-2.19.so           [.] 0x00009230                            
     0.01%  python   ld-2.19.so           [.] 0x00009218                            
     0.00%  python   ld-2.19.so           [.] 0x00018eb0                            
     0.00%  python   [kernel.kallsyms]    [k] do_set_pte                            
     0.00%  python   libpython2.7.so.1.0  [.] PyDescr_NewMethod                     
     0.00%  python   ld-2.19.so           [.] 0x00018ecc                            
     0.00%  python   [kernel.kallsyms]    [k] do_sigaction                          
     0.00%  python   ld-2.19.so           [.] 0x00009464                            
     0.00%  python   ld-2.19.so           [.] 0x00015874                            
     0.00%  python   libc-2.19.so         [.] 0x00074554                            
     0.00%  python   libc-2.19.so         [.] 0x000747e4                            
     0.00%  python   libc-2.19.so         [.] 0x000747f0                            
     0.00%  python   libc-2.19.so         [.] 0x000748d0                            
     0.00%  python   libpython2.7.so.1.0  [.] _PyImport_FixupExtension              
     0.00%  python   libpython2.7.so.1.0  [.] find_key                              
     0.00%  python   libpython2.7.so.1.0  [.] fixdfa                                
     0.00%  python   libpython2.7.so.1.0  [.] initsignal                            
     0.00%  python   ld-2.19.so           [.] 0x0000b7d8                            
     0.00%  python   libc-2.19.so         [.] strcat                                
     0.00%  python   libpython2.7.so.1.0  [.] PyDescr_NewMember                     
     0.00%  python   libpython2.7.so.1.0  [.] PyFile_FromFile                       
     0.00%  python   libpython2.7.so.1.0  [.] _Py_hgversion                         
     0.00%  python   libpython2.7.so.1.0  [.] do_mktuple                            
     0.00%  python   libpython2.7.so.1.0  [.] make_flags                            
     0.00%  python   ld-2.19.so           [.] 0x00008ef0                            
     0.00%  python   ld-2.19.so           [.] 0x0000b838                            
     0.00%  python   ld-2.19.so           [.] 0x00008ee4                            
     0.00%  python   ld-2.19.so           [.] 0x000098d4                            
     0.00%  python   ld-2.19.so           [.] 0x0000bc90                            
     0.00%  python   [kernel.kallsyms]    [k] perf_output_copy                      
     0.00%  python   libpython2.7.so.1.0  [.] PySequence_Tuple                      
     0.00%  python   libpython2.7.so.1.0  [.] _Py_ReadyTypes                        
     0.00%  python   libpython2.7.so.1.0  [.] va_build_value                        
     0.00%  python   ld-2.19.so           [.] 0x00008f20                            
     0.00%  python   ld-2.19.so           [.] 0x00009240                            
     0.00%  python   ld-2.19.so           [.] 0x0000b804                            
     0.00%  python   ld-2.19.so           [.] 0x0000b80c                            
     0.00%  python   ld-2.19.so           [.] 0x0000b830                            
     0.00%  python   ld-2.19.so           [.] 0x000091c0                            
     0.00%  python   [kernel.kallsyms]    [k] do_wp_page.isra.96                    
     0.00%  python   ld-2.19.so           [.] 0x0000940c                            
     0.00%  python   ld-2.19.so           [.] 0x00009414                            
     0.00%  python   [kernel.kallsyms]    [k] flush_signal_handlers                 
     0.00%  python   [kernel.kallsyms]    [k] md5_transform                         
     0.00%  python   [kernel.kallsyms]    [k] tlb_do_page_fault_0                   
     0.00%  python   ld-2.19.so           [.] 0x00008f60                            
     0.00%  python   ld-2.19.so           [.] 0x0000b81c                            
     0.00%  python   ld-2.19.so           [.] 0x0000b9f4                            
     0.00%  python   ld-2.19.so           [.] 0x00015580                            
     0.00%  python   ld-2.19.so           [.] 0x00008f2c                            
     0.00%  python   ld-2.19.so           [.] 0x0000b2b8                            
     0.00%  python   ld-2.19.so           [.] 0x00008f84                            
     0.00%  python   ld-2.19.so           [.] 0x000090bc                            
     0.00%  python   ld-2.19.so           [.] 0x000091b4                            
     0.00%  python   ld-2.19.so           [.] 0x000093fc                            
     0.00%  python   ld-2.19.so           [.] 0x00009418                            
     0.00%  python   ld-2.19.so           [.] 0x0000b3d8                            
     0.00%  python   ld-2.19.so           [.] 0x0000b7d0                            
     0.00%  python   ld-2.19.so           [.] 0x00019920                            
     0.00%  python   libc-2.19.so         [.] 0x00072428                            
     0.00%  python   [kernel.kallsyms]    [k] kmem_cache_alloc                      
     0.00%  python   [kernel.kallsyms]    [k] load_elf_binary                       
     0.00%  python   ld-2.19.so           [.] 0x00009234                            
     0.00%  python   ld-2.19.so           [.] 0x00008f8c                            
     0.00%  python   ld-2.19.so           [.] 0x00009330                            
     0.00%  python   ld-2.19.so           [.] 0x00009344                            
     0.00%  python   ld-2.19.so           [.] 0x000093a4                            
     0.00%  python   ld-2.19.so           [.] 0x000093e0                            
     0.00%  python   ld-2.19.so           [.] 0x0000b840                            
     0.00%  python   ld-2.19.so           [.] 0x0000b984                            
     0.00%  python   ld-2.19.so           [.] 0x0000b9ec                            
     0.00%  python   ld-2.19.so           [.] 0x0000ba04                            
     0.00%  python   [kernel.kallsyms]    [k] do_mmap_pgoff                         
     0.00%  python   [kernel.kallsyms]    [k] prepend_path                          
     0.00%  python   ld-2.19.so           [.] 0x00008f70                            
     0.00%  python   ld-2.19.so           [.] 0x00009398                            
     0.00%  python   ld-2.19.so           [.] 0x00009400                            
     0.00%  python   ld-2.19.so           [.] 0x000097ec                            
     0.00%  python   [kernel.kallsyms]    [k] ptep_clear_flush                      
     0.00%  python   ld-2.19.so           [.] 0x00008eec                            
     0.00%  python   ld-2.19.so           [.] 0x00008f00                            
     0.00%  python   ld-2.19.so           [.] 0x00008f5c                            
     0.00%  python   ld-2.19.so           [.] 0x000090b8                            
     0.00%  python   ld-2.19.so           [.] 0x00009214                            
     0.00%  python   ld-2.19.so           [.] 0x000097d4                            
     0.00%  python   ld-2.19.so           [.] 0x000097e0                            
     0.00%  python   ld-2.19.so           [.] 0x0000980c                            
     0.00%  python   ld-2.19.so           [.] 0x000098c0                            
     0.00%  python   ld-2.19.so           [.] 0x00009970                            
     0.00%  python   ld-2.19.so           [.] 0x0000b3e0                            
     0.00%  python   ld-2.19.so           [.] 0x0000b510                            
     0.00%  python   ld-2.19.so           [.] 0x0000b528                            
     0.00%  python   ld-2.19.so           [.] 0x0000b7fc                            
     0.00%  python   ld-2.19.so           [.] 0x0000b800                            
     0.00%  python   ld-2.19.so           [.] 0x000197c4                            
     0.00%  python   [kernel.kallsyms]    [k] local_flush_tlb_range                 
     0.00%  python   ld-2.19.so           [.] 0x00008efc                            
     0.00%  python   ld-2.19.so           [.] 0x00009188                            
     0.00%  python   ld-2.19.so           [.] 0x000091b8                            
     0.00%  python   ld-2.19.so           [.] 0x000093f4                            
     0.00%  python   ld-2.19.so           [.] 0x00009408                            
     0.00%  python   ld-2.19.so           [.] 0x00009424                            
     0.00%  python   ld-2.19.so           [.] 0x0000b4fc                            
     0.00%  python   ld-2.19.so           [.] 0x0000b530                            
     0.00%  python   ld-2.19.so           [.] 0x0000b560                            
     0.00%  python   ld-2.19.so           [.] 0x00018ed4                            
     0.00%  python   [kernel.kallsyms]    [k] __ashldi3                             
     0.00%  python   [kernel.kallsyms]    [k] do_prlimit                            
     0.00%  python   [kernel.kallsyms]    [k] n_tty_ioctl                           
     0.00%  python   [kernel.kallsyms]    [k] perf_event_header__init_id            
     0.00%  python   [kernel.kallsyms]    [k] sys_brk                               
     0.00%  python   ld-2.19.so           [.] 0x00008ef4                            
     0.00%  python   ld-2.19.so           [.] 0x00008f50                            
     0.00%  python   ld-2.19.so           [.] 0x00008f9c                            
     0.00%  python   ld-2.19.so           [.] 0x0000932c                            
     0.00%  python   ld-2.19.so           [.] 0x0000935c                            
     0.00%  python   ld-2.19.so           [.] 0x000093b8                            
     0.00%  python   ld-2.19.so           [.] 0x000098a8                            
     0.00%  python   ld-2.19.so           [.] 0x000099a4                            
     0.00%  python   ld-2.19.so           [.] 0x0000a65c                            
     0.00%  python   ld-2.19.so           [.] 0x0000a668                            
     0.00%  python   ld-2.19.so           [.] 0x0000a66c                            
     0.00%  python   ld-2.19.so           [.] 0x0000a680                            
     0.00%  python   ld-2.19.so           [.] 0x0000b4f0                            
     0.00%  python   ld-2.19.so           [.] 0x0000b4f8                            
     0.00%  python   ld-2.19.so           [.] 0x0000b7d4                            
     0.00%  python   ld-2.19.so           [.] 0x0000b7e8                            
     0.00%  python   ld-2.19.so           [.] 0x0000b7f8                            
     0.00%  python   ld-2.19.so           [.] 0x0000b810                            
     0.00%  python   ld-2.19.so           [.] 0x0000b818                            
     0.00%  python   ld-2.19.so           [.] 0x0000b824                            
     0.00%  python   ld-2.19.so           [.] 0x0000b974                            
     0.00%  python   ld-2.19.so           [.] 0x000105c8                            
     0.00%  python   ld-2.19.so           [.] 0x000155cc                            
     0.00%  python   ld-2.19.so           [.] 0x00015720                            
     0.00%  python   ld-2.19.so           [.] 0x00015990                            
     0.00%  python   libc-2.19.so         [.] __libc_start_main                     
