# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 18K of event 'cycles'
# Event count (approx.): 1004956412
#
# Overhead  Command  Shared Object        Symbol                                    
# ........  .......  ...................  ..........................................
#
     0.14%  python   libpython2.7.so.1.0  [.] PyList_New                            
     0.14%  python   libpython2.7.so.1.0  [.] compiler_function                     
     0.14%  python   libc-2.19.so         [.] 0x000731c4                            
     0.14%  python   libc-2.19.so         [.] 0x00074150                            
     0.13%  python   libpython2.7.so.1.0  [.] _Py_Name                              
     0.13%  python   libpython2.7.so.1.0  [.] PyDict_Size                           
     0.13%  python   libc-2.19.so         [.] 0x00073038                            
     0.13%  python   libc-2.19.so         [.] 0x00072574                            
     0.13%  python   libc-2.19.so         [.] __ctype_b_loc                         
     0.12%  python   libc-2.19.so         [.] 0x00073eec                            
     0.12%  python   libpython2.7.so.1.0  [.] ast_for_arguments                     
     0.12%  python   libpython2.7.so.1.0  [.] compiler_next_instr.isra.11           
     0.12%  python   libpython2.7.so.1.0  [.] list_resize                           
     0.12%  python   libc-2.19.so         [.] 0x00072668                            
     0.12%  python   libc-2.19.so         [.] 0x000724f8                            
     0.11%  python   libc-2.19.so         [.] 0x0007303c                            
     0.11%  python   libpython2.7.so.1.0  [.] ast_for_expr_stmt                     
     0.10%  python   libpython2.7.so.1.0  [.] instrsize                             
     0.10%  python   libpython2.7.so.1.0  [.] parsestr                              
     0.10%  python   libpython2.7.so.1.0  [.] PyArena_AddPyObject                   
     0.10%  python   libpython2.7.so.1.0  [.] stackdepth_walk                       
     0.10%  python   libc-2.19.so         [.] 0x00074218                            
     0.10%  python   libpython2.7.so.1.0  [.] PyArena_Malloc                        
     0.10%  python   libc-2.19.so         [.] 0x000724d4                            
     0.10%  python   libc-2.19.so         [.] 0x000724a8                            
     0.10%  python   libc-2.19.so         [.] _IO_getc                              
     0.10%  python   libc-2.19.so         [.] 0x00072fd0                            
     0.10%  python   libc-2.19.so         [.] 0x00072560                            
     0.09%  python   libc-2.19.so         [.] 0x0007324c                            
     0.09%  python   libc-2.19.so         [.] 0x000724a4                            
     0.09%  python   libc-2.19.so         [.] 0x00072558                            
     0.09%  python   libc-2.19.so         [.] 0x000724e4                            
     0.09%  python   libpython2.7.so.1.0  [.] listsort                              
     0.09%  python   libpython2.7.so.1.0  [.] PyInt_AsLong                          
     0.09%  python   libc-2.19.so         [.] 0x00074fcc                            
     0.08%  python   libpython2.7.so.1.0  [.] _PyString_Resize                      
     0.08%  python   libpython2.7.so.1.0  [.] compiler_compare                      
     0.08%  python   libc-2.19.so         [.] 0x00074158                            
     0.08%  python   libc-2.19.so         [.] 0x000731e0                            
     0.08%  python   libpython2.7.so.1.0  [.] PyFrame_New                           
     0.08%  python   libc-2.19.so         [.] 0x00074164                            
     0.08%  python   libpython2.7.so.1.0  [.] _PyObject_GC_Malloc                   
     0.08%  python   libpython2.7.so.1.0  [.] dict_traverse                         
     0.08%  python   libc-2.19.so         [.] 0x00073200                            
     0.08%  python   libc-2.19.so         [.] 0x00072ff4                            
     0.08%  python   libc-2.19.so         [.] 0x00073028                            
     0.08%  python   libc-2.19.so         [.] 0x00074640                            
     0.08%  python   libc-2.19.so         [.] 0x00073ef0                            
     0.08%  python   libc-2.19.so         [.] 0x0007325c                            
     0.08%  python   libpython2.7.so.1.0  [.] assemble_jump_offsets.isra.5          
     0.08%  python   libpython2.7.so.1.0  [.] blocksize                             
     0.08%  python   libc-2.19.so         [.] 0x00073020                            
     0.08%  python   libc-2.19.so         [.] 0x00073f18                            
     0.08%  python   libc-2.19.so         [.] 0x000745d4                            
     0.08%  python   libc-2.19.so         [.] 0x00073eb4                            
     0.08%  python   libpython2.7.so.1.0  [.] new_identifier                        
     0.08%  python   libc-2.19.so         [.] 0x0007317c                            
     0.08%  python   libpython2.7.so.1.0  [.] add_operators                         
     0.08%  python   libc-2.19.so         [.] 0x00073f0c                            
     0.08%  python   libpython2.7.so.1.0  [.] add_subclass.isra.6                   
     0.08%  python   libc-2.19.so         [.] 0x0007167c                            
     0.07%  python   libc-2.19.so         [.] 0x0007166c                            
     0.07%  python   libc-2.19.so         [.] 0x000731b4                            
     0.07%  python   libpython2.7.so.1.0  [.] compiler_addop                        
     0.07%  python   libc-2.19.so         [.] 0x00072fe0                            
     0.07%  python   libc-2.19.so         [.] 0x0007253c                            
     0.07%  python   libc-2.19.so         [.] 0x00074168                            
     0.07%  python   libpython2.7.so.1.0  [.] subtract_refs                         
     0.07%  python   libpython2.7.so.1.0  [.] PyString_FromFormatV                  
     0.07%  python   libc-2.19.so         [.] 0x00073f84                            
     0.07%  python   libc-2.19.so         [.] 0x00074fd8                            
     0.07%  python   libpython2.7.so.1.0  [.] _PyModule_Clear                       
     0.07%  python   libc-2.19.so         [.] 0x00075034                            
     0.07%  python   libc-2.19.so         [.] 0x0007168c                            
     0.07%  python   libc-2.19.so         [.] 0x00072544                            
     0.07%  python   libc-2.19.so         [.] 0x000731a8                            
     0.07%  python   libpython2.7.so.1.0  [.] resolve_slotdups                      
     0.07%  python   [kernel.kallsyms]    [k] run_timer_softirq                     
     0.07%  python   libpython2.7.so.1.0  [.] PyCFunction_NewEx                     
     0.07%  python   libc-2.19.so         [.] 0x00073054                            
     0.07%  python   libpthread-2.19.so   [.] _IO_funlockfile                       
     0.07%  python   libpython2.7.so.1.0  [.] inherit_slots                         
     0.07%  python   libpython2.7.so.1.0  [.] listiter_next                         
     0.07%  python   libpython2.7.so.1.0  [.] _Py_HashPointer                       
